time,timestamp,longitude,latitude,z,sea_surface_height_above_sea_level
2019-06-07T21:00:00Z,1559941200,,,0,1.094232
2019-06-07T21:15:00Z,1559942100,,,0,1.094232
2019-06-07T21:30:00Z,1559943000,,,0,1.094232
2019-06-07T21:45:00Z,1559943900,,,0,1.094232
2019-06-07T22:00:00Z,1559944800,,,0,1.094232
2019-06-07T23:00:00Z,1559948400,,,0,1.094232
2019-06-08T01:00:00Z,1559955600,,,0,1.094232
2019-06-08T03:00:00Z,1559962800,,,0,1.094232
2019-06-08T04:00:00Z,1559966400,,,0,1.094232
2019-06-08T05:00:00Z,1559970000,,,0,1.094232
2019-06-08T06:00:00Z,1559973600,,,0,1.094232
2019-06-08T07:00:00Z,1559977200,,,0,1.094232
2019-06-08T08:00:00Z,1559980800,,,0,1.094232
2019-06-08T09:00:00Z,1559984400,,,0,1.094232
2019-06-08T10:00:00Z,1559988000,,,0,1.094232
2019-06-08T11:00:00Z,1559991600,,,0,1.094232
2019-06-08T12:00:00Z,1559995200,,,0,1.094232
2019-06-08T13:00:00Z,1559998800,,,0,1.094232
2019-06-08T14:00:00Z,1560002400,,,0,1.094232
2019-06-08T15:00:00Z,1560006000,,,0,1.094232
2019-06-08T16:00:00Z,1560009600,,,0,1.094232
2019-06-08T17:00:00Z,1560013200,,,0,1.094232
2019-06-08T18:00:00Z,1560016800,,,0,1.094232
2019-06-08T19:00:00Z,1560020400,,,0,1.094232
2019-06-08T20:00:00Z,1560024000,,,0,1.094232
2019-06-08T21:00:00Z,1560027600,,,0,1.094232
2019-06-08T22:00:00Z,1560031200,,,0,1.094232
2019-06-08T23:00:00Z,1560034800,,,0,1.094232
2019-06-09T04:00:00Z,1560052800,,,0,1.094232
2019-06-09T05:00:00Z,1560056400,,,0,1.094232
2019-06-09T06:00:00Z,1560060000,,,0,1.094232
2019-06-09T07:00:00Z,1560063600,,,0,1.094232
2019-06-09T08:00:00Z,1560067200,,,0,1.094232
2019-06-09T09:00:00Z,1560070800,,,0,1.094232
2019-06-09T10:00:00Z,1560074400,,,0,1.094232
2019-06-09T11:00:00Z,1560078000,,,0,1.094232
2019-06-09T12:00:00Z,1560081600,,,0,1.094232
2019-06-09T13:00:00Z,1560085200,,,0,1.094232
2019-06-09T14:00:00Z,1560088800,,,0,1.094232
2019-06-09T15:00:00Z,1560092400,,,0,1.094232
2019-06-09T16:00:00Z,1560096000,,,0,1.094232
2019-06-09T17:00:00Z,1560099600,,,0,1.094232
2019-06-09T18:00:00Z,1560103200,,,0,1.094232
2019-06-09T19:00:00Z,1560106800,,,0,1.094232
2019-06-09T20:00:00Z,1560110400,,,0,1.094232
2019-06-09T21:00:00Z,1560114000,,,0,1.094232
2019-06-09T22:00:00Z,1560117600,,,0,1.094232
2019-06-09T23:00:00Z,1560121200,,,0,1.094232
2019-06-10T06:00:00Z,1560146400,,,0,1.094232
2019-06-10T07:00:00Z,1560150000,,,0,1.094232
2019-06-10T08:00:00Z,1560153600,,,0,1.094232
2019-06-10T09:00:00Z,1560157200,,,0,1.094232
2019-06-10T10:00:00Z,1560160800,,,0,1.094232
2019-06-10T11:00:00Z,1560164400,,,0,1.094232
2019-06-10T12:00:00Z,1560168000,,,0,1.094232
2019-06-10T13:00:00Z,1560171600,,,0,1.094232
2019-06-10T13:15:00Z,1560172500,,,0,1.094232
2019-06-10T13:30:00Z,1560173400,,,0,1.094232
2019-06-10T13:45:00Z,1560174300,,,0,1.094232
2019-06-10T14:00:00Z,1560175200,,,0,1.094232
2019-06-10T14:15:00Z,1560176100,,,0,1.094232
2019-06-10T14:30:00Z,1560177000,,,0,1.094232
2019-06-10T14:45:00Z,1560177900,,,0,1.094232
2019-06-10T15:00:00Z,1560178800,,,0,1.094232
2019-06-10T15:15:00Z,1560179700,,,0,1.094232
2019-06-10T15:30:00Z,1560180600,,,0,1.094232
2019-06-10T15:45:00Z,1560181500,,,0,1.094232
2019-06-10T16:00:00Z,1560182400,,,0,1.094232
2019-06-10T16:15:00Z,1560183300,,,0,1.094232
2019-06-10T16:30:00Z,1560184200,,,0,1.094232
2019-06-10T16:45:00Z,1560185100,,,0,1.094232
2019-06-10T17:00:00Z,1560186000,,,0,1.094232
2019-06-10T17:15:00Z,1560186900,,,0,1.094232
2019-06-10T17:30:00Z,1560187800,,,0,1.865376
2019-06-10T17:45:00Z,1560188700,,,0,0.67056
2019-06-10T18:00:00Z,1560189600,,,0,2.282952
2019-06-10T18:15:00Z,1560190500,,,0,2.566416
2019-06-10T18:30:00Z,1560191400,,,0,3.843528
2019-06-10T18:45:00Z,1560192300,,,0,3.846576
2019-06-10T19:00:00Z,1560193200,,,0,0.12192
2019-06-10T19:15:00Z,1560194100,,,0,0.12192
2019-06-10T19:30:00Z,1560195000,,,0,-2.84988
2019-06-10T19:45:00Z,1560195900,,,0,3.938016
2019-06-10T20:00:00Z,1560196800,,,0,4.163568
2019-06-10T20:15:00Z,1560197700,,,0,0.12192
2019-06-10T20:30:00Z,1560198600,,,0,0.118872
2019-06-10T20:45:00Z,1560199500,,,0,0.128016
2019-06-10T21:00:00Z,1560200400,,,0,0.131064
2019-06-10T21:15:00Z,1560201300,,,0,0.134112
2019-06-10T21:30:00Z,1560202200,,,0,0.149352
2019-06-10T21:45:00Z,1560203100,,,0,0.170688
2019-06-10T22:00:00Z,1560204000,,,0,0.176784
2019-06-10T22:15:00Z,1560204900,,,0,0.164592
2019-06-10T22:45:00Z,1560206700,,,0,0.18288
2019-06-10T23:00:00Z,1560207600,,,0,0.201168
2019-06-10T23:15:00Z,1560208500,,,0,0.170688
2019-06-10T23:45:00Z,1560210300,,,0,0.16764
2019-06-11T00:00:00Z,1560211200,,,0,0.1524
2019-06-11T00:15:00Z,1560212100,,,0,0.1524
2019-06-11T00:45:00Z,1560213900,,,0,0.124968
2019-06-11T01:30:00Z,1560216600,,,0,0.118872
2019-06-11T02:45:00Z,1560221100,,,0,0.094488
2019-06-11T03:00:00Z,1560222000,,,0,0.097536
2019-06-11T03:30:00Z,1560223800,,,0,0.097536
2019-06-11T03:45:00Z,1560224700,,,0,0.09144
2019-06-11T04:00:00Z,1560225600,,,0,0.082296
2019-06-11T04:15:00Z,1560226500,,,0,0.100584
2019-06-11T04:30:00Z,1560227400,,,0,0.085344
2019-06-11T04:45:00Z,1560228300,,,0,0.103632
2019-06-11T05:00:00Z,1560229200,,,0,0.100584
2019-06-11T05:15:00Z,1560230100,,,0,0.082296
2019-06-11T05:30:00Z,1560231000,,,0,0.073152
2019-06-11T05:45:00Z,1560231900,,,0,0.0762
2019-06-11T06:00:00Z,1560232800,,,0,0.057912
2019-06-11T06:15:00Z,1560233700,,,0,0.0762
2019-06-11T06:30:00Z,1560234600,,,0,0.048768
2019-06-11T06:45:00Z,1560235500,,,0,0.070104
2019-06-11T07:00:00Z,1560236400,,,0,0.073152
2019-06-11T07:15:00Z,1560237300,,,0,0.0762
2019-06-11T07:30:00Z,1560238200,,,0,0.057912
2019-06-11T07:45:00Z,1560239100,,,0,0.082296
2019-06-11T08:00:00Z,1560240000,,,0,0.088392
2019-06-11T08:15:00Z,1560240900,,,0,0.079248
2019-06-11T08:30:00Z,1560241800,,,0,0.131064
2019-06-11T08:45:00Z,1560242700,,,0,0.124968
2019-06-11T09:00:00Z,1560243600,,,0,0.12192
2019-06-11T09:15:00Z,1560244500,,,0,0.143256
2019-06-11T09:30:00Z,1560245400,,,0,0.155448
2019-06-11T09:45:00Z,1560246300,,,0,0.158496
2019-06-11T10:00:00Z,1560247200,,,0,0.170688
2019-06-11T10:15:00Z,1560248100,,,0,0.179832
2019-06-11T10:30:00Z,1560249000,,,0,0.204216
2019-06-11T10:45:00Z,1560249900,,,0,0.188976
2019-06-11T11:00:00Z,1560250800,,,0,0.222504
2019-06-11T11:15:00Z,1560251700,,,0,0.2286
